251;6;wV1FrqwZyKw;2;Lady Gaga;6;born this way;straight;straight;436;No matter gay, __, or bi;3-4;181250;182720;1470;1;153500
252;64;3OnnDqH6Wj8;27;Flo Rida;65;good feeling;Straight;straight;3834;__ game face, it's game day;3-4;125320;127370;2050;0;0
253;104;t4H_Zoh7G5A;55;Jennifer Lopez;105;on the floor;Straight;straight;5919;__ to LA, New York, Vegas to Africa;3-4;78370;82290;3920;1;0
254;104;t4H_Zoh7G5A;55;Jennifer Lopez;105;on the floor;Straight;straight;5945;__ to LA, New York, Vegas to Africa;3-4;148500;152750;4250;1;0
255;133;NL2VBU604Jw;86;Gavin DeGraw;135;best i ever had;straight;straight;7669;I got vertigo, no I can't see __;3-4;92360;95560;3200;0;0
256;196;Ntlt2tKi4do;368;30 Seconds to Mars;201;city of angels;straight;straight;10988;Bought my fate, __ from hell;3-4;112690;117870;5180;1;0
257;289;btPJPFnesV4;480;Survivor;297;eye of the tiger;straight;straight;14014;Risin' up __ to the top;3-4;152820;157190;4370;1;0
258;311;ab9176Srb5Y;802;Eminem;321;berzerk;straight;straight;15052;Let's take it back to __ hip-hop and start it from scratch;3-4;5250;7890;2640;1;0
259;318;QjlFqgRbICY;806;Kendrick Lamar;328;a.d.h.d;straight;straight;15488;is light blue, she take it __ to the head;3-4;64400;66770;2370;1;0
260;334;phaJXp_zMYM;818;The Notorious B.I.G.;344;big poppa;Straight;straight;16752;__ up honey really I'm askin';3-4;89840;92460;2620;1;0
261;335;CB0gNT4-tIE;821;Rick Ross;345;no games;straight;straight;16872;Jumped __ off the porch, jumped right in the kitchen;3-4;202380;205710;3330;1;0
262;349;1plPyJdXKIY;898;Warren G;360;regulate;straight;straight;17809;Ain't none of them seeing if they going __ pound for pound;3-4;72490;74950;2460;1;0
263;402;Sv6dMFF_yts;1800;fun.;417;we are young;straight;straight;20655;I need to get my story __;3-4;9960;12070;2110;0;0
264;413;UAsTlnjvetI;1820;Young The Giant;429;cough syrup;straight;straight;20354;If I could find a way to see this __, I'd run away;3-4;41960;49700;7740;0;0
265;413;UAsTlnjvetI;1820;Young The Giant;429;cough syrup;straight;straight;20363;If I could find a way to see this __, I'd run away;3-4;109700;116460;6760;0;0
266;413;UAsTlnjvetI;1820;Young The Giant;429;cough syrup;straight;straight;20373;If I could find a way to see this __, I'd run away;3-4;198160;205880;7720;0;0
267;510;BBAtAM7vtgc;2426;Kanye West;777;bound 2;straight;straight;41291;Got a fresh cut, __ out the salon, *****;3-4;80580;83310;2730;1;0
268;526;bcWWArLFgys;2442;One Direction;795;midnight memories;Straight;straight;42414;__ off the plane to a new hotel;3-4;3150;9220;6070;0;0
269;527;EHkozMIXZ8w;2443;Eminem;796;the monster;straight;straight;42532;Maybe I need a __ jacket, face facts;3-4;188790;191230;2440;1;0
270;661;hlVBg7_08n0;3091;Macklemore & Ryan Lewis;2091;Same love;straight;straight;109201;And I kept my room __;3-4;58630;60460;1830;0;0
271;125;WpYeekQkAdc;77;The Black Eyed Peas;127;where is the love?;straight;straight;7181;Now, you gotta have love just to set it __;3-4;54910;57540;2630;0;0
1301;271;n4RjJKxsamQ;449;Scorpions;279;wind of change;straight;straight;13442;Blows __ into the face of time;3-4;196050;200710;4660;0;0
1302;349;1plPyJdXKIY;898;Warren G;360;regulate;straight;straight;17799;These hookers lookin so hard they __ hit the curb;3-4;52280;54640;2360;1;0
1303;471;O-zpOMYRi0w;2406;Iggy Azalea;755;fancy;straight;straight;39868;Takin' all the liquor __, never chase that (never);3-4;27240;29990;2750;1;0
1304;527;EHkozMIXZ8w;2443;Eminem;796;the monster;straight;straight;42520;But until then drums get killed and I'm coming __ at;3-4;162060;164760;2700;1;0
1305;556;X2BYmmTI04I;2466;5 seconds of summer;826;she looks so perfect;straight;straight;44466;I made a mix-tape __ out of '94;3-4;116190;119300;3110;0;0
