1410;50;Z8eXaXoUJRQ;20;Selena Gomez;51;slow down;rhythm;rhythm;3051;I wanna steal you for a __ and affection;5-6;11120;14770;3650;0;0
1411;87;UJtB55MaoD0;39;Jessie J;88;domino;rhythm;rhythm;5054;Sparkin' up a __;5-6;47840;49720;1880;1;0
1412;87;UJtB55MaoD0;39;Jessie J;88;domino;rhythm;rhythm;5081;Sparkin' up a __;5-6;131060;132950;1890;1;0
1413;104;t4H_Zoh7G5A;55;Jennifer Lopez;105;on the floor;rhythm;rhythm;5916;Let the __ change your world on the floor;5-6;67890;71610;3720;1;0
1414;298;sRYNYb30nxU;572;The Darkness;306;i believe in a thing called love;rhythm;rhythm;14740;Just listen to the __ of my heart;5-6;47350;49390;2040;0;0
1415;298;sRYNYb30nxU;572;The Darkness;306;i believe in a thing called love;rhythm;rhythm;14753;Just listen to the __ of my heart;5-6;99840;101810;1970;0;0
1416;298;sRYNYb30nxU;572;The Darkness;306;i believe in a thing called love;rhythm;rhythm;14763;Just listen to the __ of my heart;5-6;159980;162010;2030;0;0
1417;308;j5-yKhDd64s;802;Eminem;318;not afraid;rhythm;rhythm;14806;I shouldn't have to rhyme these words in the __ for you to know it's a rap;5-6;91760;95140;3380;1;0
1418;350;otCpCn0l4Wo;970;MC Hammer;361;u can't touch this;rhythm;rhythm;17905;Give me a song or __;5-6;72950;74680;1730;0;0
1419;375;eimgRedLkkU;1782;Empire of the Sun;390;walking on a dream;rhythm;rhythm;19116;Living in a __ where the minutes working overtime;5-6;86320;90270;3950;0;0
1420;69;450p7goxZqg;29;John Legend;740;all of me;rhythm;rhythm;38899;My worst distraction, my __ and blues;5-6;118690;122540;3850;0;0
1421;535;SDP-TGE9AYs;2452;U2;805;moment of surrender;rhythm;rhythm;43220;To the __ of my soul;5-6;182460;188730;6270;0;0
1422;535;SDP-TGE9AYs;2452;U2;805;moment of surrender;rhythm;rhythm;43221;To the __ of my consciousness;5-6;188730;194230;5500;0;0
1423;535;SDP-TGE9AYs;2452;U2;805;moment of surrender;rhythm;rhythm;43222;To the __ of yes;5-6;194230;199740;5510;0;0
